"oil_spill_id","From","jiv_number","date_reported","date_spill","date_spill_clean","jiv_date","facility_equipment/incident_site","area/terrain","cause","volume","cleanup_status","comments","lga","jiv_lookup_id","JIV.Asset.Id","JIV.Url","JIV.Cause.Verified","JIV.Location.Verified","JIV.Comment","Included","Monitors manual changes","JIV Location - reconstructed to monior manual changes in split data","Location.Type","Location.Unit","Lat/Northing","Long/Easting","Area","Area Unit","photo_lookup_id","Photo.Asset.Id","Photo.Url","Photo.Damage.Followup","map.type","map.description","map.lat","map.lon","Photo.Damage"
"151","shell","1244273","9/4/14","","","9/10/14 0:00","16'' Tunu - Brass Creek Pipeline at Agbidiama","Swamp","Sabotage","16","Recovery completed on 04 Oct 2014, assessment completed on 07 Oct 2014, clean-up and remediation planned for May 2017","-","","151jiv","530","https://decoder.blob.core.windows.net/oil-spill-assets/data/530.pdf","41886 - 41892 - Failed Weld-on illegal hot tap valve; Crude oil theft (illegal bunkering) point - Third party interference; crude theft","NEMB - DEC - 101700.09 - 350417.99 - 1.785 - ha","0","Y","No change","NEMB - DEC - 101700.09 - 350417.99 - 1.785 - ha","NEMB","DEC","101700.09","350417.99","1.785","ha","151photo","470","https://decoder.blob.core.windows.net/oil-spill-assets/data/470.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.919128054627045,5.579236384451648,
"152","shell","1132183","3/2/14","","","3/4/14 0:00","20'' Otumara - Escravos Pipeline at Ajudiabo","Swamp","Sabotage","29","Spill was contained on 01 Mar 2014, recovery completed on 20 Mar 2014, assessment completed on 21 Mar 2014, clean-up and remediation completed on 07 Apr 2014, site certified on 16 May 2014","-","","152jiv","1333","https://decoder.blob.core.windows.net/oil-spill-assets/data/1333.pdf","41699 - 41702 - Failed Weld-on illegal hot tap valve; Crude oil theft (illegal bunkering) point - Third party interference; crude theft","NEMB - DEC - 173233.83 - 308852.42 - 150 - m2","0","Y","No change","NEMB - DEC - 173233.83 - 308852.42 - 150 - m2","NEMB","DEC","173233.83","308852.42","150","m2","152photo","1273","https://decoder.blob.core.windows.net/oil-spill-assets/data/1273.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.566676210526317,5.205160142345202,
"153","shell","1502962","10/12/15","","","10/15/15 0:00","20'' KoloCreek - Rumuekpe Pipeline  at Aminigboko","Swamp","Operational","0.4","Spill was contained on 09 Oct 2015, no recoverable oil found, assessment completed on 04 Nov 2015, clean-up and remediation not required, site certification planned for May 2017","-","","153jiv","313","https://decoder.blob.core.windows.net/oil-spill-assets/data/313.pdf","2015-10-09 - 2015-10-15 - Failed clamp - Operational","LLWGS - DEC - 4.94742 - 6.55844 - 0.0025 - ha","","Y","No change","LLWGS - DEC - 4.94742 - 6.55844 - 0.0025 - ha","LLWGS","DEC","4.94742","6.55844","0.0025","ha","153photo","279","https://decoder.blob.core.windows.net/oil-spill-assets/data/279.pdf","Clamp","WGS84","",4.94742,6.55844,
"154","shell","670188","6/8/11","","","6/9/11 0:00","12'' Imo River 1 Ogale Pipeline at Owaza","Land","Sabotage / Theft","4.5","Recovery of spilled volume completed on 9th June 2011. Cleanup of residual impacted area completed on 13th July 2011.","Post Cleanup Inspection completed on 19th July 2011.","","154jiv","1736","https://decoder.blob.core.windows.net/oil-spill-assets/data/1736.pdf","2011-06-08 - 2011-06-09 - Drilled hole - Crude oil theft/ illegal bunkering","NEMB - DEC - 105285 - 524794.73 - 0.05 - ha","","Y","No change","NEMB - DEC - 105285 - 524794.73 - 0.05 - ha","NEMB","DEC","105285","524794.73","0.05","ha","154photo","1698","https://decoder.blob.core.windows.net/oil-spill-assets/data/1698.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.9471221073960985,7.151042141910615,
"155","shell","1434675","7/2/15","","","7/14/15 0:00","10'' Diebu Creek-Nun River Pipeline at Oporoma","Swamp","Sabotage","15","Spill was contained on 30 Jun 2015, recovery completed on 05 Nov 2015, assessment completed on 28 Jan 2016, clean-up and remediation planned for March 2017","-","","155jiv","828","https://decoder.blob.core.windows.net/oil-spill-assets/data/828.pdf","2015-06-30 - 2015-07-14 - Hack saw cut - Third party interference - Sabotage","LLWGS - DEC - 4.79929 - 6.10796 - 0.07 - ha","JIT noticed channel that apparently aid spread of oil into the bush","Y","No change","LLWGS - DEC - 4.79929 - 6.10796 - 0.07 - ha","LLWGS","DEC","4.79929","6.10796","0.07","ha","155photo","742","https://decoder.blob.core.windows.net/oil-spill-assets/data/742.pdf","N/A","WGS84","",4.79929,6.10796,
"156","shell","1036286","9/6/13","","","9/7/13 0:00","24'' Nkpoku-Bomu Pipeline at B-Dere","Land","Sabotage","2","No recoverable oil found, assessment completed on 20 May 2014, clean-up and remediation completed on 30 May 2014, site certified on 30 May 2014","-","","156jiv","830","https://decoder.blob.core.windows.net/oil-spill-assets/data/830.pdf","2013-09-06 - 2013-09-07 - Drilled hole - Third party interference - Sabotage","NEMB - DEC - 74721.02 - 534913.93 - 0.03 - ha","","Y","No change","NEMB - DEC - 74721.02 - 534913.93 - 0.03 - ha","NEMB","DEC","74721.02","534913.93","0.03","ha","156photo","744","https://decoder.blob.core.windows.net/oil-spill-assets/data/744.pdf","Circular","WGS84","Converted from Nigeria West Belt",4.670583235552745,7.2410964473157895,
"157","shell","1280531","11/3/14","","","11/10/14 0:00","20'' Otumara-Escravos Pipeline at Ogidigben","Swamp","Sabotage","8","Recovery completed on 12 Nov 2014, assessment completed on 11 Feb 2015, clean-up and remediation not required, site certified on 16 Feb 2016","-","","157jiv","1551","https://decoder.blob.core.windows.net/oil-spill-assets/data/1551.pdf","41946 - 41953 - Failed Weld-on illegal hot tap valve; Crude oil theft (illegal bunkering) point - Third party interference; crude theft","NEMB - DEC - 171853.817 - 308497.498 - 191.75 - m2","0","Y","No change","NEMB - DEC - 171853.817 - 308497.498 - 191.75 - m2","NEMB","DEC","171853.817","308497.498","191.75","m2","157photo","1488","https://decoder.blob.core.windows.net/oil-spill-assets/data/1488.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.55419748505979,5.201941528891253,
"158","shell","709129","9/3/11","","","9/9/11 0:00","14'' Okordia-Rumuekpe Pipeline at Ikarama","Land","Sabotage / Theft","68.7","Recovery of spilled volume commenced on 12th September 2011 and was completed on 26th November 2011. Cleanup of residual impacted area was completed on 16th December 2011.","This is the 10th sabotage incident at Ikarama since the beginning of August 2011. Schedule revised due to a nationwide industrial action by labour unions in January 2012. Post Cleanup Inspection completed on 8th February 2012.","","158jiv","831","https://decoder.blob.core.windows.net/oil-spill-assets/data/831.pdf","2011-09-03 - 2011-09-09 - Hack saw cut - Third party interference","NEMB - DEC - 125933.55 - 445296.56 - 0.3 - ha","","Y","No change","NEMB - DEC - 125933.55 - 445296.56 - 0.3 - ha","NEMB","DEC","125933.55","445296.56","0.3","ha","158photo","745","https://decoder.blob.core.windows.net/oil-spill-assets/data/745.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.136285029588048,6.435213058691811,
"159","shell","1053705","10/9/13","","","10/10/13 0:00","24'' Nkpoku - Bomu Pipeline at Nonwa","Land","Operational","2249","Recovery completed on 29 Oct 2013, assessment completed on 25 Nov 2013, clean-up and remediation completed on 20 May 2014, site certified on 31 Jul 2014","Actions completed","","159jiv","832","https://decoder.blob.core.windows.net/oil-spill-assets/data/832.pdf","PHOTO -  -  -","PHOTO -  -  -  -  -","0","Y","No change","PHOTO -  -  -  -  -","PHOTO","","","","","","159photo","746","https://decoder.blob.core.windows.net/oil-spill-assets/data/746.pdf","N/A","Unknown","",0,0,
"160","shell","787065","3/8/12","","","3/9/12 0:00","24'' Nkpoku - Bomu Trunkline at Egballor","Land","Sabotage / Theft","0.2","No recoverable oil was found on site.","JIV recommends no cleanup action required. Closed. Site Certification was completed on 3rd May 2012.","","160jiv","672","https://decoder.blob.core.windows.net/oil-spill-assets/data/672.pdf","2012-03-08 - 2012-03-09 - Hack saw cut - Third party interference","NEMB - DEC - 87467.21 - 524054.16 - 0.0024 - ha","","Y","No change","NEMB - DEC - 87467.21 - 524054.16 - 0.0024 - ha","NEMB","DEC","87467.21","524054.16","0.0024","ha","160photo","612","https://decoder.blob.core.windows.net/oil-spill-assets/data/612.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.786139570184985,7.1437415916159726,
"161","shell","1672470","7/5/16","","","7/20/16 0:00","Yokri Well 113T Flowline at Obotobo I & II","Swamp","Sabotage","9","No recoverable oil found, assessment completed on 26 Aug 2016, clean-up and remediation planned for April 2017","-","","161jiv","474","https://decoder.blob.core.windows.net/oil-spill-assets/data/474.pdf","2016-07-04 - 2016-07-20 - Other - Third party interference - Sabotage","LLWGS - DEC - 5.420014 - 5.297027 - 0.088 - ha","Others: 3"" plug valve theft ","Y","No change","LLWGS - DEC - 5.420014 - 5.297027 - 0.088 - ha","LLWGS","DEC","5.420014","5.297027","0.088","ha","161photo","427","https://decoder.blob.core.windows.net/oil-spill-assets/data/427.pdf","Other","WGS84","",5.420014,5.297027,
"162","shell","800043","4/7/12","","","4/13/12 0:00","8'' Etelebou - Kolo-Creek Pipeline at Biogbolo.","Swamp","Operational","5.7","Recovery of spilled volume commenced on 13th April 2012 and was completed on 30th April 2012. Initial Cleanup of residual impacted area was completed on 25th May 2012. Remediation was completed on 31st August 2012.","Recovery interrupted from 13th to 24th of April due to community disturbances. Site Certification was completed on 12th October 2012.","","162jiv","535","https://decoder.blob.core.windows.net/oil-spill-assets/data/535.pdf","2012-04-06 - 2012-04-13 - Corrosion - Operational","NEMB - DEC - 104366.58 - 432990.21 - 0.03 - ha","corrosion","Y","No change","NEMB - DEC - 104366.58 - 432990.21 - 0.03 - ha","NEMB","DEC","104366.58","432990.21","0.03","ha","162photo","475","https://decoder.blob.core.windows.net/oil-spill-assets/data/475.pdf","Corrosion","WGS84","Converted from Nigeria West Belt",4.941614965185856,6.323711036502199,
"163","shell","1066301","11/3/13","","","11/7/13 0:00","24'' Nkpoku to Bomu Trans Niger Pipeline at Kpite","Land","Sabotage","10","Spill was contained on 07 Nov 2013, recovery completed on 08 Nov 2013, assessment completed on 02 Dec 2013, clean-up and remediation completed on 07 Apr 2014, site certified on 28 Apr 2014","-","","163jiv","1013","https://decoder.blob.core.windows.net/oil-spill-assets/data/1013.pdf","2013-11-03 - 2013-11-07 - Hack saw cut - Third party interference - Sabotage","NEMB - DEC - 78931.37 - 535352.31 - 0.06 - ha","","Y","No change","NEMB - DEC - 78931.37 - 535352.31 - 0.06 - ha","NEMB","DEC","78931.37","535352.31","0.06","ha","163photo","930","https://decoder.blob.core.windows.net/oil-spill-assets/data/930.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.708611337317054,7.245192499694519,
"164","shell","937909","3/2/13","","","3/5/13 0:00","18'' Assa - Rumuekpe Trunkline at Awara","Land","Sabotage","1","No recoverable oil found, assessment completed on 08 Mar 2013, clean-up and remediation not required, site certified on 02 Sep 2013","JIV recommends no further action required. Closed.","","164jiv","931","https://decoder.blob.core.windows.net/oil-spill-assets/data/931.pdf","2013-03-02 - 2013-03-05 - Hack saw cut - Third party interference - Sabotage","NEMB - DEC - 145710.53 - 480850.18 - 0.0057 - ha","","Y","No change","NEMB - DEC - 145710.53 - 480850.18 - 0.0057 - ha","NEMB","DEC","145710.53","480850.18","0.0057","ha","164photo","854","https://decoder.blob.core.windows.net/oil-spill-assets/data/854.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.313995776001748,6.756373126890388,
"165","eni","LAR-001-001-151","","1/1/14","","","Old Obrikom Flowstation","LAR","Vandalization","3","","","Ogba/Ndoni/Egbema","165jiv","79","https://decoder.blob.core.windows.net/oil-spill-assets/data/79.pdf","2014-01-01 - 2014-01-02 - Third party interference","NEMB - DMS - {degrees:05,minutes:24,seconds:01.6} - {degrees:006,minutes:37,seconds:35.2}","","Y","No change","NEMB - DMS - {degrees:05,minutes:24,seconds:01.6} - {degrees:006,minutes:37,seconds:35.2}","NEMB","DMS","{degrees:05,minutes:24,seconds:01.6}","{degrees:006,minutes:37,seconds:35.2}","","","165photo","149","https://decoder.blob.core.windows.net/oil-spill-assets/data/149.pdf","Not enough details","WGS84","Converted from Degrees Minutes Seconds",5.4004,6.6264,
"166","shell","","8/2/11","","","8/9/11 0:00","14'' Okordia-Rumuekpe Pipeline at Ikarama","Land","Sabotage / Theft","127.8","Recovery of spilled volume and cleanup of impacted area completed on 23rd September 2011.","Post Cleanup Inspection completed on 25th November 2011. Delay due to flooding which restricted access to the site.","","166jiv","1517","https://decoder.blob.core.windows.net/oil-spill-assets/data/1517.pdf","2011-08-02 - 2011-08-09 - Hack saw cut - Third party interference","NEMB - DEC - 127036.74 - 444332.64 - 1.55 - ha","","Y","No change","NEMB - DEC - 127036.74 - 444332.64 - 1.55 - ha","NEMB","DEC","127036.74","444332.64","1.55","ha","166photo","1455","https://decoder.blob.core.windows.net/oil-spill-assets/data/1455.pdf","N/A","WGS84","Converted from Nigeria West Belt",5.146285164382202,6.4265522765060945,
"167","shell","1354025","3/6/15","","","3/10/15 0:00","Adibawa well 10 S Flowline at Edagberi Betterland","Land","Sabotage","0.6","No recoverable oil found, assessment completed on 21 Mar 2015, clean-up and remediation planned for March 2017","-","","167jiv","402","https://decoder.blob.core.windows.net/oil-spill-assets/data/402.pdf","2015-03-05 - 2015-03-10 - Third party tampering with clamp - Third party interference - Sabotage","NEMB - DEC - 133300.41 - 450754.51 - 0.0078 - ha","","Y","No change","NEMB - DEC - 133300.41 - 450754.51 - 0.0078 - ha","NEMB","DEC","133300.41","450754.51","0.0078","ha","167photo","341","https://decoder.blob.core.windows.net/oil-spill-assets/data/341.pdf","Clamp","WGS84","Converted from Nigeria West Belt",5.20273455032407,6.484628797567788,
"168","shell","751218","12/8/11","","","12/17/11 0:00","10'' Diebu creek Pipeline at Oporoma","Swamp","Sabotage / Theft","3.2","Containment in place. Recovery of spilled volume commenced on 31st December 2011 and was completed on 26th February 2012. Initial Cleanup of residual impacted area was completed on 7th March 2012.","Post Cleanup Inspection completed on 27th March 2012.","","168jiv","505","https://decoder.blob.core.windows.net/oil-spill-assets/data/505.pdf","2011-12-07 - 2011-12-17 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 88349.56 - 405208.61 - 0.06 - ha","","Y","No change","NEMB - DEC - 88349.56 - 405208.61 - 0.06 - ha","NEMB","DEC","88349.56","405208.61","0.06","ha","168photo","446","https://decoder.blob.core.windows.net/oil-spill-assets/data/446.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.797419671565943,6.072935962662229,
"169","shell","1658680","6/22/16","","","8/19/16 0:00","18'' Assa to Rumuekpe Pipeline at Ochia","Land","Sabotage","0.6","No recoverable oil found, assessment completed on 07 Oct 2016, clean-up and remediation planned for March 2017","-","","169jiv","297","https://decoder.blob.core.windows.net/oil-spill-assets/data/297.pdf","2016-06-19 - 2016-08-19 - Inward dent - Tear - Third party interference - Sabotage","LLWGS - DEC - 5.312239 - 6.786840 - 0.0009 - ha","On arrival on site, the J.I.T. observed a ditch suspected to have been excavated around the spill point by unknown persons.On complete exposure, in the course of J.I.V. the spill point was confirmed to be a tear with surrounding inward dent suspected to be due to the use of explosive material(s) on the opipeline by unknown person(s).The section of the pipeline....coating was observed impacted.","Y","No change","LLWGS - DEC - 5.312239 - 6.786840 - 0.0009 - ha","LLWGS","DEC","5.312239","6.786840","0.0009","ha","169photo","264","https://decoder.blob.core.windows.net/oil-spill-assets/data/264.pdf","N/A","WGS84","",5.312239,6.78684,
"170","shell","810760","5/4/12","","","5/5/12 0:00","12'' Imo River 2 Pipeline at Odagwa","Land","Sabotage / Theft","0.79","Recovery of spilled volume was completed on 5th May 2012. Initial Cleanup of residual impacted area was completed on 12th May 2012. Remediation was completed on 2nd August 2012.","Site Certification was completed on 12th October 2012.","","170jiv","1158","https://decoder.blob.core.windows.net/oil-spill-assets/data/1158.pdf","2012-05-04 - 2012-05-05 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 108507.471 - 523254.667 - 0.02 - ha","","Y","No change","NEMB - DEC - 108507.471 - 523254.667 - 0.02 - ha","NEMB","DEC","108507.471","523254.667","0.02","ha","170photo","1083","https://decoder.blob.core.windows.net/oil-spill-assets/data/1083.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.976297244623789,7.137283458817379,
"171","shell","","2/14/13","","","2/15/13 0:00","Obigbo Well 9L Flow line at Umuebulu","Land","Sabotage","2","No recoverable oil found, assessment completed on 21 Feb 2013, clean-up and remediation completed on 31 Jul 2013, site certified on 20 Aug 2013","N/A","","171jiv","448","https://decoder.blob.core.windows.net/oil-spill-assets/data/448.pdf","2013-02-13 - 2013-02-15 - Hack saw cut - Third party interference - Sabotage","NEMB - DEC - 98565.00 - 518039.57 - 0.001 - ha","","Y","No change","NEMB - DEC - 98565.00 - 518039.57 - 0.001 - ha","NEMB","DEC","98565.00","518039.57","0.001","ha","171photo","405","https://decoder.blob.core.windows.net/oil-spill-assets/data/405.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.886635703538548,7.08994938341564,
"172","shell","1228508","8/8/14","","","8/9/14 0:00","8'' Obigbo North - New Elelenwo at Umukolobe","Land","Sabotage","4","Spill was contained on 07 Aug 2014, recovery completed on 10 Aug 2014, assessment completed on 26 Aug 2014, clean-up and remediation completed on 12 Jan 2015, site certified on 25 Mar 2015","-","","172jiv","710","https://decoder.blob.core.windows.net/oil-spill-assets/data/710.pdf","2014-08-07 - 2014-08-09 - Crude oil theft/ illegal bunkering - Third party tampering with valve - Third party interference - Crude theft","NEMB - DEC - 94184.20 - 517663.96 - 0.001 - ha","","Y","No change","NEMB - DEC - 94184.20 - 517663.96 - 0.001 - ha","NEMB","DEC","94184.20","517663.96","0.001","ha","172photo","637","https://decoder.blob.core.windows.net/oil-spill-assets/data/637.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.84706014954696,7.086414439784162,
"173","shell","1191083","6/4/14","","","6/6/14 0:00","36'' Nkpoku-Bomu Pipeline  at Atali","Land","Sabotage","4","No recoverable oil found, assessment completed on 17 Jun 2014, clean-up and remediation completed on 15 Jul 2014, site certified on 23 Oct 2014","-","","173jiv","940","https://decoder.blob.core.windows.net/oil-spill-assets/data/940.pdf","2014-06-03 - 2014-06-06 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","NEMB - DEC - 97628.66 - 512078.97 - 0.0043 - ha","Ongoing remediation activities were observed and there was dyke with caution tape constructed around the spill point.","Y","No change","NEMB - DEC - 97628.66 - 512078.97 - 0.0043 - ha","NEMB","DEC","97628.66","512078.97","0.0043","ha","173photo","864","https://decoder.blob.core.windows.net/oil-spill-assets/data/864.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.878379221646751,7.036220229015577,
"174","shell","1320947","1/19/15","","","1/26/15 0:00","30'' Nembe Creek Pipeline at Opomakiri","Swamp","Sabotage","217","Recovery completed on 30 Jan 2015, assessment completed on 19 Feb 2015, clean-up and remediation completed on 30 Jun 2015, site certified on 16 Oct 2015","-","","174jiv","450","https://decoder.blob.core.windows.net/oil-spill-assets/data/450.pdf","42022 - 42030 - Crude oil theft (illegal bunkering) point - Third party interference; crude theft","NEMB - DEC - 63637.68 - 507381.08 - 11.99 - ha","0","Y","No change","NEMB - DEC - 63637.68 - 507381.08 - 11.99 - ha","NEMB","DEC","63637.68","507381.08","11.99","ha","174photo","407","https://decoder.blob.core.windows.net/oil-spill-assets/data/407.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.571342901276328,6.992799035306136,
"175","shell","1380641","4/14/15","","","4/21/15 0:00","4'' Obele-Ibaa Delivery Line at Ibaa/Omueze","Land","Sabotage","87","Spill was contained on 15 Apr 2015, recovery completed on 12 May 2015, assessment completed on 20 May 2015, clean-up and remediation completed on 31 May 2016, site certified on 25 Jul 2016","-","","175jiv","640","https://decoder.blob.core.windows.net/oil-spill-assets/data/640.pdf","2015-04-14 - 2015-04-21 - Hack saw cut - Third party interference - Sabotage","LLWGS - DEC - 4.97088 - 6.80425 - 0.39 - ha","","Y","No change","LLWGS - DEC - 4.97088 - 6.80425 - 0.39 - ha","LLWGS","DEC","4.97088","6.80425","0.39","ha","175photo","581","https://decoder.blob.core.windows.net/oil-spill-assets/data/581.pdf","N/A","WGS84","",4.97088,6.80425,
"176","shell","1595255","3/15/16","","","3/22/16 0:00","36'' Nkpoku-Bomu Trans Niger Pipeline at Rumuochiolu-Eneka","Land","Sabotage","0.6","No recoverable oil found, assessment completed on 30 Mar 2016, clean-up and remediation planned for March 2017","-","","176jiv","452","https://decoder.blob.core.windows.net/oil-spill-assets/data/452.pdf","2016-03-15 - 2016-03-22 - Failed weld-on illegal hot tap valve - Crude oil theft/ illegal bunkering - Third party interference - Crude theft","LLWGS - DEC - 4.921999 - 7.038768 - 0.006374 - ha","The Joint Investigation Team observed that the incident point is very close to surveillance hut.","Y","No change","LLWGS - DEC - 4.921999 - 7.038768 - 0.006374 - ha","LLWGS","DEC","4.921999","7.038768","0.006374","ha","176photo","409","https://decoder.blob.core.windows.net/oil-spill-assets/data/409.pdf","N/A","WGS84","",4.921999,7.038768,
"177","shell","956377","4/6/13","","","4/17/13 0:00","20'' Opukushi - Brass Creek Pipeline at Tamogbene","Swamp","Sabotage","102","Spill was contained on 10 May 2013, recovery completed on 16 Jun 2013, assessment completed on 17 Jun 2013, clean-up and remediation completed on 03 Sep 2013, site certified on 24 Oct 2013","JIV commenced on 16th April 2013 and was completed on 17th April 2013. Delay due to security issues.","","177jiv","1307","https://decoder.blob.core.windows.net/oil-spill-assets/data/1307.pdf","2013-04-05 - 2013-04-16 - Drilled hole - Crude oil theft/ illegal bunkering - Third party interference","NEMB - DEC - 104280 - 361978 - 30451.81 - met","","Y","No change","NEMB - DEC - 104280 - 361978 - 30451.81 - met","NEMB","DEC","104280","361978","30451.81","met","177photo","1247","https://decoder.blob.core.windows.net/oil-spill-assets/data/1247.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.942284140949067,5.683508064571333,
"178","shell","1761032","11/30/16","","","12/8/16 0:00","Benisede Well 6S Wellhead at Ojobo","Swamp","Sabotage","2","Recovery completed on 30 Nov 2016, assessment planned for March 2017","-","","178jiv","173","https://decoder.blob.core.windows.net/oil-spill-assets/data/173.pdf","2016-11-30 - 2016-12-08 - Well head tampering - Other - Third party interference - Sabotage","LLWGS - DEC - 5.00732 - 5.68969 - 0.0039 - ha","Description of leak point: Others: theft of surface safety valve.","Y","No change","LLWGS - DEC - 5.00732 - 5.68969 - 0.0039 - ha","LLWGS","DEC","5.00732","5.68969","0.0039","ha","178photo","151","https://decoder.blob.core.windows.net/oil-spill-assets/data/151.pdf","Other","WGS84","",5.00732,5.68969,
"179","shell","1784132","1/13/17","","","1/17/17 0:00","Agbaya Well 1 Wellhead at Ogbotobo","Swamp","Sabotage","53","Recovery completed on 24 Feb 2017, assessment planned for March 2017","-","","179jiv","214","https://decoder.blob.core.windows.net/oil-spill-assets/data/214.pdf","2017-01-13 - 2017-01-17 - Crude oil theft/ illegal bunkering - Well head tampering - Third party interference - Crude theft","LLWGS - DEC - 4.94092 - 5.53524 - 3.085 - ha","","Y","No change","LLWGS - DEC - 4.94092 - 5.53524 - 3.085 - ha","LLWGS","DEC","4.94092","5.53524","3.085","ha","179photo","174","https://decoder.blob.core.windows.net/oil-spill-assets/data/174.pdf","N/A","WGS84","",4.94092,5.53524,
"180","shell","1574386","2/13/16","","","2/23/16 0:00","6'' Seibou Bulkline-2 at Azagbene","Swamp","Operational","50","Spill was contained on 12 Feb 2016, recovery completed on 28 Mar 2016, assessment completed on 22 Apr 2016, clean-up and remediation planned for May 2017","-","","180jiv","410","https://decoder.blob.core.windows.net/oil-spill-assets/data/410.pdf","2016-02-12 - 2016-02-23 - Other - Operational","LLWGS - DEC - 04.86571 - 005.87637 - 2.48 - ha","Equipment failure\nIncident cause was confirmed as equipment failure by the joint investigation team, based on the observation of a 3mm hole at 5 o'clock position on the 6"" bulkline - 2 at Azagbene axis.\n","Y","No change","LLWGS - DEC - 04.86571 - 005.87637 - 2.48 - ha","LLWGS","DEC","04.86571","005.87637","2.48","ha","180photo","348","https://decoder.blob.core.windows.net/oil-spill-assets/data/348.pdf","Irregular","WGS84","",4.86571,5.87637,
"181","shell","657417","5/8/11","","","5/10/11 0:00","Apara Well 3 Location at Apara.","Land","Sabotage / Theft","1.5","Recovery of spilled oil completed on 10th May 2011.","Freedom to Operate (FTO) granted by Apara community and cleanup of residual impacted area was completed on 28th June 2011. Post Cleanup Inspection completed on 13th July 2011.","","181jiv","643","https://decoder.blob.core.windows.net/oil-spill-assets/data/643.pdf","2011-05-07 - 2011-05-10 - Well head tampering - Third party tampering with valve","NEMB - DEC - 92346.62 - 504212.95 - 0.02 - ha","The investigating team observed the leak has been stop and the kerotex valve that was fully open has been closed by the operation team. After joint investigation of the incident, spill was found to be due to third party interference.\nIn the description of the leak point, ""Corrosion"" and ""Others"" were not checked but it was written ""Not applicable"" after those options.","Y","No change","NEMB - DEC - 92346.62 - 504212.95 - 0.02 - ha","NEMB","DEC","92346.62","504212.95","0.02","ha","181photo","584","https://decoder.blob.core.windows.net/oil-spill-assets/data/584.pdf","Other","WGS84","Converted from Nigeria West Belt",4.830905769204187,6.965181536305184,
"182","shell","824763","6/7/12","","","6/23/12 0:00","10'' Diebu Creek Pipeline at Onyoma","Swamp","Sabotage / Theft","55.4","Containment in place. Recovery of spilled volume which was stalled by community issues between 23rd June 2012 and 8th July 2012, was completed on 13th July 2012. Initial Cleanup of residual impacted area was completed on 13th December 2012.","JIV was delayed due to a community dispute over ownership of the impacted area. Site Certification completed on 13th March 2013.","","182jiv","1462","https://decoder.blob.core.windows.net/oil-spill-assets/data/1462.pdf","2012-06-07 - 2012-06-23 - Hack saw cut - Third party interference","NEMB - DEC - 84084.93 - 404726.11 - 1.68 - ha","","Y","No change","NEMB - DEC - 84084.93 - 404726.11 - 1.68 - ha","NEMB","DEC","84084.93","404726.11","1.68","ha","182photo","1380","https://decoder.blob.core.windows.net/oil-spill-assets/data/1380.pdf","N/A","WGS84","Converted from Nigeria West Belt",4.758865747219988,6.06849941802216,
"183","shell","864306","9/8/12","","","9/12/12 0:00","Benisede Well 15T at Ojobo","Swamp","Sabotage / Theft","0.0003","No recoverable oil was found on site.","Estimated Spill Volume was 0.036 liters. JIV recommends no further cleanup action required. Closed.","","183jiv","1525","https://decoder.blob.core.windows.net/oil-spill-assets/data/1525.pdf","2012-09-03 - 2012-09-12 - Well head tampering - Third party interference","NEMB - DEC - 111138 - 362474 - 113.14 - met","","Y","No change","NEMB - DEC - 111138 - 362474 - 113.14 - met","NEMB","DEC","111138","362474","113.14","met","183photo","1463","https://decoder.blob.core.windows.net/oil-spill-assets/data/1463.pdf","Other","WGS84","Converted from Nigeria West Belt",5.004300849086614,5.688091473494193,
"184","shell","","2/10/11","","","2/14/11 0:00","Imo River Well 37L Flowline at Igiriukwu Owaza","Land","Sabotage/ Theft","0.7","No recoverable oil was found on site. Spill impact observed as stains on vegetation at the location. Cleanup completed on 25th March 2011.","Post Cleanup Inspection completed on 13th April 2011.","","184jiv","216","https://decoder.blob.core.windows.net/oil-spill-assets/data/216.pdf","2011-02-09 - 2011-02-14 - Drilled hole","NEMB - DEC - 109218.923 - 526928.208 - 0.12 - ha","","Y","No change","NEMB - DEC - 109218.923 - 526928.208 - 0.12 - ha","NEMB","DEC","109218.923","526928.208","0.12","ha","184photo","176","https://decoder.blob.core.windows.net/oil-spill-assets/data/176.pdf","Circular","WGS84","Converted from Nigeria West Belt",4.982592603486456,7.170405321496183,
